year,countriesparticipating,participants,men,women,sports,events,city,country,latitude,longitude,dx,dy,align
2014,89,2749,1643,1103,15,98,Sochi,Russia,43.60280789999999,39.7341543,-0.19,-0.02,middle
2010,82,2536,1503,1033,15,86,Vancouver,Canada,49.2827291,-123.1207375,-0.25,-0.15,middle
2006,79,2494,1539,955,15,84,Torino,Italy,45.070312,7.686856499999999,-0.1,0.3,middle
2002,77,2399,1513,886,15,78,Salt Lake City,United States,40.7607793,-111.8910474,-0.25,-0.25,middle
1998,72,2180,1390,789,14,68,Nagano,Japan,36.6485829,138.1947709,-0.1,0.15,middle
1994,67,1738,1215,522,12,61,Lillehammer,Norway,61.1152713,10.4662306,0.08,0.08,middle
1992,64,1801,1312,488,12,57,Albertville,France,45.675535,6.392726,0.12,0.15,middle
1988,57,1427,1109,315,11,46,Calgary,Canada,51.0486151,-114.0708459,-0.15,0.15,middle
1984,49,1273,996,277,10,39,Sarajevo,Yugoslavia,43.8563,18.4131,-0.2,0.2,middle
1980,37,1072,837,235,10,38,Lake Placid,United States,44.2794911,-73.9798713,0.06,0.1,middle
1976,37,1129,897,231,10,37,Innsbruck,Austria,47.2692124,11.4041024,0.01,0.3,middle
1972,35,1008,802,206,10,35,Sapporo,Japan,43.0620958,141.3543763,-0.1,0.15,middle
1968,37,1160,949,211,10,35,Grenoble,France,45.188529,5.724524,0.1,0.15,middle
1964,36,1094,894,200,10,34,Innsbruck,Austria,47.2692124,11.4041024,-0.25,0.15,middle
1960,30,665,521,144,8,27,Squaw Valley,United States,39.1969804,-120.2357055,0.03,0.06,middle
1956,32,821,689,132,8,24,Cortina d'Ampezzo,Italy,46.5404711,12.1356524,-0.2,0.2,middle
1952,30,694,585,109,8,22,Oslo,Norway,59.9138688,10.7522454,0.1,0.1,middle
1948,28,668,591,77,9,22,Sankt Moritz,Switzerland,46.4907973,9.8355079,0.25,0.15,middle
1936,28,668,588,80,8,17,Garmisch-Partenkirchen,Germany,47.4916945,11.0954984,0.1,0.15,middle
1932,17,253,231,21,7,14,Lake Placid,United States,44.2794911,-73.9798713,0.1,0.1,middle
1928,25,461,433,28,8,13,Sankt Moritz,Switzerland,46.4907973,9.8355079,0.07,0.25,middle
1924,19,313,300,13,9,17,Chamonix,France,45.923697,6.869433,0.1,0.15,middle